,reg_id,prov_id,mun_id,bgy_id,name
0,1,128,12801,12801001,Adams (Pob.)
1,1,128,12802,12802001,Bani
2,1,128,12802,12802002,Buyon
3,1,128,12802,12802003,Cabaruan
4,1,128,12802,12802004,Cabulalaan
5,1,128,12802,12802005,Cabusligan
6,1,128,12802,12802006,Cadaratan
7,1,128,12802,12802007,Calioet-Libong
8,1,128,12802,12802008,Casilian
9,1,128,12802,12802009,Corocor
10,1,128,12802,12802011,Duripes
11,1,128,12802,12802012,Ganagan
12,1,128,12802,12802013,Libtong
13,1,128,12802,12802014,Macupit
14,1,128,12802,12802015,Nambaran
15,1,128,12802,12802016,Natba
16,1,128,12802,12802017,Paninaan
17,1,128,12802,12802018,Pasiocan
18,1,128,12802,12802019,Pasngal
19,1,128,12802,12802020,Pipias
20,1,128,12802,12802021,Pulangi
21,1,128,12802,12802022,Pungto
22,1,128,12802,12802024,San Agustin I (Pob.)
23,1,128,12802,12802025,San Agustin II (Pob.)
24,1,128,12802,12802027,San Andres I (Pob.)
25,1,128,12802,12802028,San Andres II (Pob.)
26,1,128,12802,12802030,San Gabriel I (Pob.)
27,1,128,12802,12802031,San Gabriel II (Pob.)
28,1,128,12802,12802033,San Pedro I (Pob.)
29,1,128,12802,12802034,San Pedro II (Pob.)
30,1,128,12802,12802036,San Roque I (Pob.)
31,1,128,12802,12802037,San Roque II (Pob.)
32,1,128,12802,12802039,San Simon I (Pob.)
33,1,128,12802,12802040,San Simon II (Pob.)
34,1,128,12802,12802041,San Vicente (Pob.)
35,1,128,12802,12802042,Sangil
36,1,128,12802,12802044,Santa Filomena I (Pob.)
37,1,128,12802,12802045,Santa Filomena II (Pob.)
38,1,128,12802,12802046,Santa Rita (Pob.)
39,1,128,12802,12802047,Santo Cristo I (Pob.)
40,1,128,12802,12802048,Santo Cristo II (Pob.)
41,1,128,12802,12802050,Tambidao
42,1,128,12802,12802051,Teppang
43,1,128,12802,12802052,Tubburan
44,1,128,12803,12803001,Alay-Nangbabaan
45,1,128,12803,12803002,Alogoog
46,1,128,12803,12803003,Ar-arusip
47,1,128,12803,12803004,Aring
48,1,128,12803,12803005,Balbaldez
49,1,128,12803,12803006,Bato
50,1,128,12803,12803007,Camanga
51,1,128,12803,12803008,Canaan (Pob.)
52,1,128,12803,12803009,Caraitan
53,1,128,12803,12803011,Gabut Norte
54,1,128,12803,12803012,Gabut Sur
55,1,128,12803,12803013,Garreta (Pob.)
56,1,128,12803,12803016,Labut
57,1,128,12803,12803017,Lacuben
58,1,128,12803,12803018,Lubigan
59,1,128,12803,12803020,Mabusag Norte
60,1,128,12803,12803021,Mabusag Sur
61,1,128,12803,12803022,Madupayas
62,1,128,12803,12803023,Morong
63,1,128,12803,12803025,Nagrebcan
64,1,128,12803,12803026,Napu
65,1,128,12803,12803027,La Virgen Milagrosa
66,1,128,12803,12803028,Pagsanahan Norte
67,1,128,12803,12803029,Pagsanahan Sur
68,1,128,12803,12803030,Paltit
69,1,128,12803,12803031,Parang
70,1,128,12803,12803032,Pasuc
71,1,128,12803,12803034,Santa Cruz Norte
72,1,128,12803,12803035,Santa Cruz Sur
73,1,128,12803,12803036,Saud
74,1,128,12803,12803037,Turod
75,1,128,12804,12804001,Abaca
76,1,128,12804,12804002,Bacsil
77,1,128,12804,12804003,Banban
78,1,128,12804,12804004,Baruyen
79,1,128,12804,12804005,Dadaor
80,1,128,12804,12804006,Lanao
81,1,128,12804,12804007,Malasin
82,1,128,12804,12804008,Manayon
83,1,128,12804,12804009,Masikil
84,1,128,12804,12804010,Nagbalagan
85,1,128,12804,12804011,Payac
86,1,128,12804,12804012,San Lorenzo (Pob.)
87,1,128,12804,12804014,Taguiporo
88,1,128,12804,12804015,Utol
89,1,128,12805,12805001,Aglipay (Pob.)
90,1,128,12805,12805002,Baay
91,1,128,12805,12805003,Baligat
92,1,128,12805,12805004,Bungon
93,1,128,12805,12805005,Baoa East
94,1,128,12805,12805006,Baoa West
95,1,128,12805,12805007,Barani (Pob.)
96,1,128,12805,12805009,Ben-agan (Pob.)
97,1,128,12805,12805010,Bil-loca
98,1,128,12805,12805011,Biningan
99,1,128,12805,12805012,Callaguip (Pob.)
100,1,128,12805,12805013,Camandingan
101,1,128,12805,12805014,Camguidan
102,1,128,12805,12805015,Cangrunaan (Pob.)
103,1,128,12805,12805016,Capacuan
104,1,128,12805,12805017,Caunayan (Pob.)
105,1,128,12805,12805018,Valdez Pob.
106,1,128,12805,12805019,Colo
107,1,128,12805,12805020,Pimentel
108,1,128,12805,12805021,Dariwdiw
109,1,128,12805,12805022,Acosta Pob.
110,1,128,12805,12805023,Ablan Pob.
111,1,128,12805,12805024,Lacub (Pob.)
112,1,128,12805,12805025,Mabaleng
113,1,128,12805,12805026,Magnuang
114,1,128,12805,12805027,Maipalig
115,1,128,12805,12805028,Nagbacalan
116,1,128,12805,12805029,Naguirangan
117,1,128,12805,12805030,Ricarte Pob.
118,1,128,12805,12805031,Palongpong
119,1,128,12805,12805032,Palpalicong (Pob.)
120,1,128,12805,12805033,Parangopong
121,1,128,12805,12805034,Payao
122,1,128,12805,12805035,Quiling Norte
123,1,128,12805,12805036,Quiling Sur
124,1,128,12805,12805037,Quiom
125,1,128,12805,12805038,Rayuray
126,1,128,12805,12805039,San Julian (Pob.)
127,1,128,12805,12805040,San Mateo
128,1,128,12805,12805041,San Pedro
129,1,128,12805,12805042,Suabit (Pob.)
130,1,128,12805,12805043,Sumader
131,1,128,12805,12805044,Tabug
132,1,128,12806,12806001,Ablan Sarat
133,1,128,12806,12806002,Agaga
134,1,128,12806,12806005,Bayog
135,1,128,12806,12806006,Bobon
136,1,128,12806,12806007,Buduan
137,1,128,12806,12806008,Nagsurot
138,1,128,12806,12806009,Paayas
139,1,128,12806,12806010,Pagali
140,1,128,12806,12806011,Poblacion
141,1,128,12806,12806013,Saoit
142,1,128,12806,12806014,Tanap
143,1,128,12807,12807001,Angset
144,1,128,12807,12807003,Barbaqueso (Pob.)
145,1,128,12807,12807004,Virbira
146,1,128,12808,12808001,Anggapang Norte
147,1,128,12808,12808002,Anggapang Sur
148,1,128,12808,12808003,Bimmanga
149,1,128,12808,12808004,Cabuusan
150,1,128,12808,12808005,Comcomloong
151,1,128,12808,12808006,Gaang
152,1,128,12808,12808007,Lang-ayan-Baramban
153,1,128,12808,12808008,Lioes
154,1,128,12808,12808009,Maglaoi Centro
155,1,128,12808,12808010,Maglaoi Norte
156,1,128,12808,12808011,Maglaoi Sur
157,1,128,12808,12808013,Paguludan-Salindeg
158,1,128,12808,12808014,Pangil
159,1,128,12808,12808015,Pias Norte
160,1,128,12808,12808016,Pias Sur
161,1,128,12808,12808017,Poblacion I
162,1,128,12808,12808018,Poblacion II
163,1,128,12808,12808019,Salugan
164,1,128,12808,12808020,San Simeon
165,1,128,12808,12808021,Santa Cruz
166,1,128,12808,12808022,Tapao-Tigue
167,1,128,12808,12808023,Torre
168,1,128,12808,12808024,Victoria
169,1,128,12809,12809001,Albano (Pob.)
170,1,128,12809,12809002,Bacsil
171,1,128,12809,12809003,Bagut
172,1,128,12809,12809004,Parado
173,1,128,12809,12809005,Baresbes
174,1,128,12809,12809006,Barong
175,1,128,12809,12809007,Bungcag
176,1,128,12809,12809009,Cali
177,1,128,12809,12809010,Capasan
178,1,128,12809,12809011,Dancel (Pob.)
179,1,128,12809,12809012,Foz
180,1,128,12809,12809013,Guerrero (Pob.)
181,1,128,12809,12809014,Lanas
182,1,128,12809,12809015,Lumbad
183,1,128,12809,12809016,Madamba (Pob.)
184,1,128,12809,12809017,Mandaloque
185,1,128,12809,12809018,Medina
186,1,128,12809,12809019,Ver
187,1,128,12809,12809020,San Marcelino
188,1,128,12809,12809021,Puruganan (Pob.)
189,1,128,12809,12809022,Peralta (Pob.)
190,1,128,12809,12809023,Root
191,1,128,12809,12809024,Sagpatan
192,1,128,12809,12809025,Saludares
193,1,128,12809,12809026,San Esteban
194,1,128,12809,12809027,Espiritu
195,1,128,12809,12809028,Sulquiano
196,1,128,12809,12809029,San Francisco
197,1,128,12809,12809030,Suyo
198,1,128,12809,12809031,San Marcos
199,1,128,12809,12809032,Elizabeth
200,1,128,12810,12810001,Cabaritan
201,1,128,12810,12810002,San Isidro
202,1,128,12810,12810003,Kalaw
203,1,128,12810,12810004,Quibel
204,1,128,12811,12811001,Balioeg
205,1,128,12811,12811002,Bangsar
206,1,128,12811,12811003,Barbarangay
207,1,128,12811,12811004,Bomitog
208,1,128,12811,12811005,Bugasi
209,1,128,12811,12811006,Caestebanan
210,1,128,12811,12811008,Caribquib
211,1,128,12811,12811009,Catagtaguen
212,1,128,12811,12811011,Crispina
213,1,128,12811,12811012,Hilario (Pob.)
214,1,128,12811,12811013,Imelda
215,1,128,12811,12811014,Lorenzo (Pob.)
216,1,128,12811,12811015,Macayepyep
217,1,128,12811,12811016,Marcos (Pob.)
218,1,128,12811,12811017,Nagpatayan
219,1,128,12811,12811018,Valdez
220,1,128,12811,12811019,Sinamar
221,1,128,12811,12811020,Tabtabagan
222,1,128,12811,12811021,Valenciano (Pob.)
223,1,128,12811,12811022,Binacag
224,1,128,12812,12812001,"Bgy. No. 42, Apaya"
225,1,128,12812,12812002,"Bgy. No. 36, Araniw"
226,1,128,12812,12812003,"Bgy. No. 56-A, Bacsil North"
227,1,128,12812,12812004,"Bgy. No. 56-B, Bacsil South"
228,1,128,12812,12812005,"Bgy. No. 41, Balacad"
229,1,128,12812,12812006,"Bgy. No. 40, Balatong"
230,1,128,12812,12812007,"Bgy. No. 55-A, Barit-Pandan"
231,1,128,12812,12812008,"Bgy. No. 47, Bengcag"
232,1,128,12812,12812009,"Bgy. No. 50, Buttong"
233,1,128,12812,12812010,"Bgy. No. 60-A, Caaoacan"
234,1,128,12812,12812011,"Bry. No. 48-A, Cabungaan North"
235,1,128,12812,12812012,"Bgy. No. 48-B, Cabungaan South"
236,1,128,12812,12812013,"Bgy. No. 37, Calayab"
237,1,128,12812,12812014,"Bgy. No. 54-B, Camangaan"
238,1,128,12812,12812015,"Bgy. No. 58, Casili"
239,1,128,12812,12812016,"Bgy. No. 61, Cataban"
240,1,128,12812,12812017,"Bgy. No. 43, Cavit"
241,1,128,12812,12812019,"Bgy. No. 49-A, Darayday"
242,1,128,12812,12812020,"Bgy. No. 59-B, Dibua North"
243,1,128,12812,12812021,"Bgy. No. 59-A, Dibua South"
244,1,128,12812,12812022,"Bgy. No. 34-B, Gabu Norte East"
245,1,128,12812,12812023,"Bgy. No. 34-A, Gabu Norte West"
246,1,128,12812,12812024,"Bgy. No. 35, Gabu Sur"
247,1,128,12812,12812026,Bgy. No. 32-C La Paz East
248,1,128,12812,12812027,"Bgy. No. 33-B, La Paz Proper"
249,1,128,12812,12812028,"Bgy. No. 32-B, La Paz West"
250,1,128,12812,12812029,"Bgy. No. 54-A, Lagui-Sail"
251,1,128,12812,12812030,"Bgy. No. 32-A, La Paz East"
252,1,128,12812,12812031,"Bgy. No. 33-A, La Paz Proper"
253,1,128,12812,12812032,"Bgy. No. 52-B, Lataag"
254,1,128,12812,12812033,"Bgy. No. 60-B, Madiladig"
255,1,128,12812,12812034,"Bgy. No. 38-A, Mangato East"
256,1,128,12812,12812035,"Bgy. No. 38-B, Mangato West"
257,1,128,12812,12812036,"Bgy. No. 62-A, Navotas North"
258,1,128,12812,12812037,"Bgy. No. 62-B, Navotas South"
259,1,128,12812,12812038,"Bgy. No. 46, Nalbo"
260,1,128,12812,12812039,"Bgy. No. 51-A, Nangalisan East"
261,1,128,12812,12812040,"Bgy. No. 51-B, Nangalisan West"
262,1,128,12812,12812041,"Bgy. No. 24, Nstra. Sra. De Consolacion (Pob.)"
263,1,128,12812,12812042,"Bgy. No. 7-A, Nstra. Sra. De Natividad (Pob.)"
264,1,128,12812,12812043,"Bgy. No. 7-B, Nstra. Sra. De Natividad (Pob.)"
265,1,128,12812,12812044,"Bgy. No. 27, Nstra. Sra. De Soledad (Pob.)"
266,1,128,12812,12812045,"Bgy. No. 13, Nstra. Sra. De Visitacion (Pob.)"
267,1,128,12812,12812046,"Bgy. No. 3, Nstra. Sra. Del Rosario (Pob.)"
268,1,128,12812,12812047,"Bgy. No. 57, Pila"
269,1,128,12812,12812048,"Bgy. No. 49-B, Raraburan"
270,1,128,12812,12812049,"Bgy. No. 53, Rioeng"
271,1,128,12812,12812050,"Bgy. No. 55-B, Salet-Bulangon"
272,1,128,12812,12812053,"Bgy. No. 6, San Agustin (Pob.)"
273,1,128,12812,12812054,"Bgy. No. 22, San Andres (Pob.)"
274,1,128,12812,12812055,"Bgy. No. 28, San Bernardo (Pob.)"
275,1,128,12812,12812056,"Bgy. No. 17, San Francisco (Pob.)"
276,1,128,12812,12812057,"Bgy. No. 4, San Guillermo (Pob.)"
277,1,128,12812,12812058,"Bgy. No. 15, San Guillermo (Pob.)"
278,1,128,12812,12812059,"Bgy. No. 12, San Isidro (Pob.)"
279,1,128,12812,12812060,"Bgy. No. 16, San Jacinto (Pob.)"
280,1,128,12812,12812061,"Bgy. No. 10, San Jose (Pob.)"
281,1,128,12812,12812062,"Bgy. No. 1, San Lorenzo (Pob.)"
282,1,128,12812,12812063,"Bgy. No. 26, San Marcelino (Pob.)"
283,1,128,12812,12812064,"Bgy. No. 52-A, San Mateo"
284,1,128,12812,12812065,"Bgy. No. 23, San Matias (Pob.)"
285,1,128,12812,12812066,"Bgy. No. 20, San Miguel (Pob.)"
286,1,128,12812,12812067,"Bgy. No. 21, San Pedro (Pob.)"
287,1,128,12812,12812068,"Bgy. No. 5, San Pedro (Pob.)"
288,1,128,12812,12812069,"Bry. No. 18, San Quirino (Pob.)"
289,1,128,12812,12812070,"Bgy. No. 8, San Vicente (Pob.)"
290,1,128,12812,12812071,"Bgy. No. 9, Santa Angela (Pob.)"
291,1,128,12812,12812072,"Bgy. No. 11, Santa Balbina (Pob.)"
292,1,128,12812,12812073,"Bgy. No. 25, Santa Cayetana (Pob.)"
293,1,128,12812,12812074,"Bgy. No. 2, Santa Joaquina (Pob.)"
294,1,128,12812,12812075,"Bgy. No. 19, Santa Marcela (Pob.)"
295,1,128,12812,12812076,"Bgy. No. 30-B, Santa Maria"
296,1,128,12812,12812077,"Bgy. No. 39, Santa Rosa"
297,1,128,12812,12812078,"Bgy. No. 14, Santo Tomas (Pob.)"
298,1,128,12812,12812079,"Bgy. No. 29, Santo Tomas (Pob.)"
299,1,128,12812,12812080,"Bgy. No. 30-A, Suyo"
300,1,128,12812,12812081,"Bgy. No. 31, Talingaan"
301,1,128,12812,12812082,"Bgy. No. 45, Tangid"
302,1,128,12812,12812083,"Bgy. No. 55-C, Vira"
303,1,128,12812,12812084,"Bgy. No. 44, Zamboanga"
304,1,128,12813,12813001,Pacifico
305,1,128,12813,12813003,Imelda
306,1,128,12813,12813004,Elizabeth
307,1,128,12813,12813005,Daquioag
308,1,128,12813,12813006,Escoda
309,1,128,12813,12813007,Ferdinand
310,1,128,12813,12813008,Fortuna
311,1,128,12813,12813009,Lydia (Pob.)
312,1,128,12813,12813010,Mabuti
313,1,128,12813,12813011,Valdez
314,1,128,12813,12813012,Tabucbuc
315,1,128,12813,12813013,Santiago
316,1,128,12813,12813014,Cacafean
317,1,128,12814,12814001,Acnam
318,1,128,12814,12814002,Barangobong
319,1,128,12814,12814003,Barikir
320,1,128,12814,12814004,Bugayong
321,1,128,12814,12814005,Cabittauran
322,1,128,12814,12814006,Caray
323,1,128,12814,12814007,Garnaden
324,1,128,12814,12814008,Naguillan
325,1,128,12814,12814009,Poblacion
326,1,128,12814,12814010,Santo Nino
327,1,128,12814,12814011,Uguis
328,1,128,12815,12815001,Aggasi
329,1,128,12815,12815003,Baduang
330,1,128,12815,12815004,Balaoi
331,1,128,12815,12815005,Burayoc
332,1,128,12815,12815006,Caunayan
333,1,128,12815,12815007,Dampig
334,1,128,12815,12815008,Ligaya
335,1,128,12815,12815010,Pancian
336,1,128,12815,12815011,Pasaleng
337,1,128,12815,12815012,Poblacion 1
338,1,128,12815,12815013,Poblacion 2
339,1,128,12815,12815014,Saguigui
340,1,128,12815,12815015,Saud
341,1,128,12815,12815016,Subec
342,1,128,12815,12815017,Tarrag
343,1,128,12815,12815018,Caparispisan
344,1,128,12816,12816001,Bacsil
345,1,128,12816,12816002,Cabagoan
346,1,128,12816,12816003,Cabangaran
347,1,128,12816,12816004,Callaguip
348,1,128,12816,12816005,Cayubog
349,1,128,12816,12816006,Dolores
350,1,128,12816,12816007,Laoa
351,1,128,12816,12816008,Masintoc
352,1,128,12816,12816009,Monte
353,1,128,12816,12816010,Mumulaan
354,1,128,12816,12816011,Nagbacalan
355,1,128,12816,12816012,Nalasin
356,1,128,12816,12816013,Nanguyudan
357,1,128,12816,12816014,Oaig-Upay-Abulao
358,1,128,12816,12816015,Pambaran
359,1,128,12816,12816016,Pannaratan (Pob.)
360,1,128,12816,12816017,Paratong
361,1,128,12816,12816018,Pasil
362,1,128,12816,12816019,Salbang (Pob.)
363,1,128,12816,12816020,San Agustin
364,1,128,12816,12816021,San Blas (Pob.)
365,1,128,12816,12816022,San Juan
366,1,128,12816,12816025,San Pedro
367,1,128,12816,12816028,San Roque (Pob.)
368,1,128,12816,12816029,Sangladan Pob.
369,1,128,12816,12816030,Santa Rita (Pob.)
370,1,128,12816,12816031,Sideg
371,1,128,12816,12816032,Suba
372,1,128,12816,12816033,Sungadan
373,1,128,12816,12816034,Surgui
374,1,128,12816,12816035,Veronica
375,1,128,12817,12817001,Batuli
376,1,128,12817,12817002,Binsang
377,1,128,12817,12817003,Nalvo
378,1,128,12817,12817004,Caruan
379,1,128,12817,12817005,Carusikis
380,1,128,12817,12817006,Carusipan
381,1,128,12817,12817007,Dadaeman
382,1,128,12817,12817008,Darupidip
383,1,128,12817,12817009,Davila
384,1,128,12817,12817010,Dilanis
385,1,128,12817,12817011,Dilavo
386,1,128,12817,12817012,Estancia
387,1,128,12817,12817014,Naglicuan
388,1,128,12817,12817015,Nagsanga
389,1,128,12817,12817016,Ngabangab
390,1,128,12817,12817017,Pangil
391,1,128,12817,12817018,Poblacion 1
392,1,128,12817,12817019,Poblacion 2
393,1,128,12817,12817020,Poblacion 3
394,1,128,12817,12817021,Poblacion 4
395,1,128,12817,12817022,Pragata
396,1,128,12817,12817023,Puyupuyan
397,1,128,12817,12817024,Sulongan
398,1,128,12817,12817025,Salpad
399,1,128,12817,12817026,San Juan
400,1,128,12817,12817027,Santa Catalina
401,1,128,12817,12817028,Santa Matilde
402,1,128,12817,12817029,Sapat
403,1,128,12817,12817030,Sulbec
404,1,128,12817,12817031,Surong
405,1,128,12817,12817032,Susugaen
406,1,128,12817,12817033,Tabungao
407,1,128,12817,12817034,Tadao
408,1,128,12818,12818001,Ab-abut
409,1,128,12818,12818002,Abucay
410,1,128,12818,12818003,Anao (Pob.)
411,1,128,12818,12818004,Arua-ay
412,1,128,12818,12818005,Bimmanga
413,1,128,12818,12818006,Boyboy
414,1,128,12818,12818007,Cabaroan (Pob.)
415,1,128,12818,12818008,Calambeg
416,1,128,12818,12818009,Callusa
417,1,128,12818,12818010,Dupitac
418,1,128,12818,12818011,Estancia
419,1,128,12818,12818012,Gayamat
420,1,128,12818,12818013,Lagandit
421,1,128,12818,12818014,Libnaoan
422,1,128,12818,12818015,Loing (Pob.)
423,1,128,12818,12818016,Maab-abaca
424,1,128,12818,12818017,Mangitayag
425,1,128,12818,12818018,Maruaya
426,1,128,12818,12818019,San Antonio
427,1,128,12818,12818020,Santa Maria
428,1,128,12818,12818021,Sucsuquen
429,1,128,12818,12818022,Tangaoan
430,1,128,12818,12818023,Tonoton
431,1,128,12819,12819001,Aglipay
432,1,128,12819,12819002,Apatut-Lubong
433,1,128,12819,12819003,Badio
434,1,128,12819,12819004,Barbar
435,1,128,12819,12819005,Buanga
436,1,128,12819,12819006,Bulbulala
437,1,128,12819,12819007,Bungro
438,1,128,12819,12819008,Cabaroan
439,1,128,12819,12819009,Capangdanan
440,1,128,12819,12819010,Dalayap
441,1,128,12819,12819011,Darat
442,1,128,12819,12819012,Gulpeng
443,1,128,12819,12819013,Liliputen
444,1,128,12819,12819014,Lumbaan-Bicbica
445,1,128,12819,12819015,Nagtrigoan
446,1,128,12819,12819016,Pagdilao (Pob.)
447,1,128,12819,12819017,Pugaoan
448,1,128,12819,12819018,Puritac
449,1,128,12819,12819019,Sacritan
450,1,128,12819,12819020,Salanap
451,1,128,12819,12819021,Santo Tomas
452,1,128,12819,12819022,Tartarabang
453,1,128,12819,12819023,Puzol
454,1,128,12819,12819024,Upon
455,1,128,12819,12819025,Valbuena (Pob.)
456,1,128,12820,12820001,San Francisco (Pob.)
457,1,128,12820,12820002,San Ildefonso (Pob.)
458,1,128,12820,12820003,San Agustin
459,1,128,12820,12820004,San Baltazar (Pob.)
460,1,128,12820,12820005,San Bartolome (Pob.)
461,1,128,12820,12820006,San Cayetano (Pob.)
462,1,128,12820,12820007,San Eugenio (Pob.)
463,1,128,12820,12820008,San Fernando (Pob.)
464,1,128,12820,12820009,San Gregorio (Pob.)
465,1,128,12820,12820010,San Guillermo
466,1,128,12820,12820011,San Jose (Pob.)
467,1,128,12820,12820012,San Juan Bautista (Pob.)
468,1,128,12820,12820013,San Lorenzo
469,1,128,12820,12820014,San Lucas (Pob.)
470,1,128,12820,12820015,San Marcos
471,1,128,12820,12820016,San Miguel (Pob.)
472,1,128,12820,12820017,San Pablo
473,1,128,12820,12820018,San Paulo (Pob.)
474,1,128,12820,12820019,San Pedro
475,1,128,12820,12820020,San Rufino (Pob.)
476,1,128,12820,12820021,San Silvestre (Pob.)
477,1,128,12820,12820022,Santa Asuncion
478,1,128,12820,12820023,Santa Cecilia
479,1,128,12820,12820024,Santa Monica
480,1,128,12821,12821001,San Agustin (Pob.)
481,1,128,12821,12821002,San Andres
482,1,128,12821,12821003,San Antonio
483,1,128,12821,12821004,San Bernabe
484,1,128,12821,12821005,San Cristobal
485,1,128,12821,12821006,San Felipe
486,1,128,12821,12821007,San Francisco (Pob.)
487,1,128,12821,12821008,San Isidro
488,1,128,12821,12821009,San Joaquin (Pob.)
489,1,128,12821,12821010,San Jose
490,1,128,12821,12821011,San Juan
491,1,128,12821,12821012,San Leandro (Pob.)
492,1,128,12821,12821014,San Lorenzo
493,1,128,12821,12821015,San Manuel
494,1,128,12821,12821016,San Marcos
495,1,128,12821,12821017,San Nicolas
496,1,128,12821,12821018,San Pedro
497,1,128,12821,12821019,San Roque
498,1,128,12821,12821020,San Vicente (Pob.)
499,1,128,12821,12821021,Santa Barbara (Pob.)
500,1,128,12821,12821022,Santa Magdalena
501,1,128,12821,12821023,Santa Rosa
502,1,128,12821,12821024,Santo Santiago
503,1,128,12821,12821025,Santo Tomas
504,1,128,12822,12822001,Aguitap
505,1,128,12822,12822002,Bagbag
506,1,128,12822,12822003,Bagbago
507,1,128,12822,12822004,Barcelona
508,1,128,12822,12822005,Bubuos
509,1,128,12822,12822006,Capurictan
510,1,128,12822,12822007,Catangraran
511,1,128,12822,12822008,Darasdas
512,1,128,12822,12822009,Juan (Pob.)
513,1,128,12822,12822010,Laureta (Pob.)
514,1,128,12822,12822011,Lipay
515,1,128,12822,12822012,Maananteng
516,1,128,12822,12822013,Manalpac
517,1,128,12822,12822014,Mariquet
518,1,128,12822,12822015,Nagpatpatan
519,1,128,12822,12822016,Nalasin
520,1,128,12822,12822017,Puttao
521,1,128,12822,12822018,San Juan
522,1,128,12822,12822019,San Julian
523,1,128,12822,12822020,Santa Ana
524,1,128,12822,12822021,Santiago
525,1,128,12822,12822022,Talugtog
526,1,128,12823,12823001,Abkir
527,1,128,12823,12823003,Alsem
528,1,128,12823,12823005,Bago
529,1,128,12823,12823010,Bulbulala
530,1,128,12823,12823011,Cabangaran
531,1,128,12823,12823012,Cabayo
532,1,128,12823,12823013,Cabisocolan
533,1,128,12823,12823014,Canaam
534,1,128,12823,12823015,Columbia
535,1,128,12823,12823016,Dagupan
536,1,128,12823,12823017,Pedro F. Alviar
537,1,128,12823,12823019,Dipilat
538,1,128,12823,12823022,Esperanza
539,1,128,12823,12823023,Ester
540,1,128,12823,12823024,Isic Isic
541,1,128,12823,12823027,Lubnac
542,1,128,12823,12823028,Mabanbanag
543,1,128,12823,12823030,Alejo Malasig
544,1,128,12823,12823031,Manarang
545,1,128,12823,12823033,Margaay
546,1,128,12823,12823035,Namoroc
547,1,128,12823,12823038,Malampa
548,1,128,12823,12823039,Parparoroc
549,1,128,12823,12823040,Parut
550,1,128,12823,12823047,Salsalamagui
551,1,128,12823,12823049,San Jose
552,1,128,12823,12823050,San Nicolas (Pob.)
553,1,128,12823,12823051,San Pedro (Pob.)
554,1,128,12823,12823052,San Ramon (Pob.)
555,1,128,12823,12823053,San Roque (Pob.)
556,1,128,12823,12823054,Santa Maria (Pob.)
557,1,128,12823,12823056,Tamdagan
558,1,128,12823,12823058,Visaya
559,1,129,12901,12901001,Alilem Daya (Pob.)
560,1,129,12901,12901002,Amilongan
561,1,129,12901,12901003,Anaao
562,1,129,12901,12901004,Apang
563,1,129,12901,12901005,Apaya
564,1,129,12901,12901006,Batbato
565,1,129,12901,12901010,Daddaay
566,1,129,12901,12901011,Dalawa
567,1,129,12901,12901013,Kiat
568,1,129,12902,12902001,Bagbagotot
569,1,129,12902,12902002,Banbanaal
570,1,129,12902,12902004,Bisangol
571,1,129,12902,12902005,Cadanglaan
572,1,129,12902,12902006,Casilagan Norte
573,1,129,12902,12902007,Casilagan Sur
574,1,129,12902,12902008,Elefante
575,1,129,12902,12902009,Guardia
576,1,129,12902,12902010,Lintic
577,1,129,12902,12902011,Lopez
578,1,129,12902,12902012,Montero
579,1,129,12902,12902013,Naguimba
580,1,129,12902,12902014,Pila
581,1,129,12902,12902015,Poblacion
582,1,129,12903,12903001,Aggay
583,1,129,12903,12903002,An-annam
584,1,129,12903,12903003,Balaleng
585,1,129,12903,12903004,Banaoang
586,1,129,12903,12903005,Bulag
587,1,129,12903,12903006,Buquig
588,1,129,12903,12903007,Cabalanggan
589,1,129,12903,12903008,Cabaroan
590,1,129,12903,12903009,Cabusligan
591,1,129,12903,12903010,Capangdanan
592,1,129,12903,12903011,Guimod
593,1,129,12903,12903012,Lingsat
594,1,129,12903,12903013,Malingeb
595,1,129,12903,12903014,Mira
596,1,129,12903,12903015,Naguiddayan
597,1,129,12903,12903016,Ora
598,1,129,12903,12903017,Paing
599,1,129,12903,12903018,Puspus
600,1,129,12903,12903019,Quimmarayan
601,1,129,12903,12903020,Sagneb
602,1,129,12903,12903021,Sagpat
603,1,129,12903,12903022,San Mariano
604,1,129,12903,12903023,San Isidro
605,1,129,12903,12903024,San Julian
606,1,129,12903,12903026,Sinabaan
607,1,129,12903,12903027,Taguiporo
608,1,129,12903,12903028,Taleb
609,1,129,12903,12903029,Tay-ac
610,1,129,12903,12903030,Barangay 1 (Pob.)
611,1,129,12903,12903031,Barangay 2 (Pob.)
612,1,129,12903,12903032,Barangay 3 (Pob.)
613,1,129,12903,12903033,Barangay 4 (Pob.)
614,1,129,12903,12903034,Barangay 5 (Pob.)
615,1,129,12903,12903035,Barangay 6 (Pob.)
616,1,129,12904,12904001,Ambugat
617,1,129,12904,12904002,Balugang
618,1,129,12904,12904003,Bangbangar
619,1,129,12904,12904005,Bessang
620,1,129,12904,12904006,Cabcaburao
621,1,129,12904,12904007,Cadacad
622,1,129,12904,12904008,Callitong
623,1,129,12904,12904009,Dayanki
624,1,129,12904,12904010,Lesseb
625,1,129,12904,12904011,Lubing
626,1,129,12904,12904012,Lucaban
627,1,129,12904,12904013,Luna
628,1,129,12904,12904014,Macaoayan
629,1,129,12904,12904015,Mambug
630,1,129,12904,12904016,Manaboc
631,1,129,12904,12904017,Mapanit
